,Unnamed: 0,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
2966,10848,9493 LAKEVIEW RD,5/24/22,"$243,000.00 ",243000,141.5259173,1717,2005,"9493 LAKEVIEW RD Fulton County, GA","9493%20LAKEVIEW%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/9493%20LAKEVIEW%20RD%20Fulton%20County,%20GA",33.6029899,-84.5697338
2967,10849,4845 JONES RD,5/24/22,"$415,000.00 ",415000,356.5292096,1164,1988,"4845 JONES RD Fulton County, GA","4845%20JONES%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/4845%20JONES%20RD%20Fulton%20County,%20GA",33.6236338,-84.617312
2968,10850,4932 WATERBURY CV,5/24/22,"$760,000.00 ",760000,244.5302445,3108,2016,"4932 WATERBURY CV Fulton County, GA","4932%20WATERBURY%20CV%20Fulton%20County,%20GA","https://www.google.com/maps/search/4932%20WATERBURY%20CV%20Fulton%20County,%20GA",34.0640325,-84.2164139
2969,10851,275 SADDLE BRIDGE DR,5/24/22,"$511,000.00 ",511000,216.342083,2362,1995,"275 SADDLE BRIDGE DR Fulton County, GA","275%20SADDLE%20BRIDGE%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/275%20SADDLE%20BRIDGE%20DR%20Fulton%20County,%20GA",34.0478854,-84.219437
2970,10852,11245 QUAILBROOK CHASE,5/24/22,"$712,000.00 ",712000,264.8809524,2688,1994,"11245 QUAILBROOK CHASE Fulton County, GA","11245%20QUAILBROOK%20CHASE%20Fulton%20County,%20GA","https://www.google.com/maps/search/11245%20QUAILBROOK%20CHASE%20Fulton%20County,%20GA",34.0531577,-84.1482541
2971,10853,2158 PENELOPE ST NW,5/24/22,"$350,000.00 ",350000,274.0798747,1277,1960,"2158 PENELOPE ST NW Fulton County, GA","2158%20PENELOPE%20ST%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2158%20PENELOPE%20ST%20NW%20Fulton%20County,%20GA",33.7540244,-84.4565547
2972,10854,13300 MORRIS RD # 188,5/24/22,"$360,000.00 ",360000,251.0460251,1434,2000,"13300 MORRIS RD # 188 Fulton County, GA","13300%20MORRIS%20RD%20#%20188%20Fulton%20County,%20GA","https://www.google.com/maps/search/13300%20MORRIS%20RD%20#%20188%20Fulton%20County,%20GA",34.1022688,-84.2578502
2973,10855,14885 EAST BLUFF RD,5/24/22,"$3,900,000.00 ",3900000,462.9080119,8425,2005,"14885 EAST BLUFF RD Fulton County, GA","14885%20EAST%20BLUFF%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/14885%20EAST%20BLUFF%20RD%20Fulton%20County,%20GA",34.1452928,-84.3050975
2974,10856,3200 WOLF WILLOW CLOSE,5/24/22,"$1,010,000.00 ",1010000,252.879319,3994,1999,"3200 WOLF WILLOW CLOSE Fulton County, GA","3200%20WOLF%20WILLOW%20CLOSE%20Fulton%20County,%20GA","https://www.google.com/maps/search/3200%20WOLF%20WILLOW%20CLOSE%20Fulton%20County,%20GA",34.1301832,-84.2651191
2975,10857,455 PINEBOUGH CT,5/24/22,"$775,000.00 ",775000,238.7553913,3246,1999,"455 PINEBOUGH CT Fulton County, GA","455%20PINEBOUGH%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/455%20PINEBOUGH%20CT%20Fulton%20County,%20GA",34.1228695,-84.2663567
