,Address,sale_date,sale_price,salePrice_numeric,price_SF,sq_ft,yr_built,unique_ID,full_address,Address_URL,url,lat,long
879,1101 COLLIER RD # U 6,5/4/23,"$203,000.00 ",203000,270.6666667,750,1970,1101COLLIERRD#U6-2023-05-04-203000,"1101 COLLIER RD # U 6 Fulton County, GA","1101%20COLLIER%20RD%20#%20U%206%20Fulton%20County,%20GA","https://www.google.com/maps/search/1101%20COLLIER%20RD%20#%20U%206%20Fulton%20County,%20GA",33.8103191,-84.4223831
880,3005 BRIERFIELD LAKE,5/4/23,"$930,000.00 ",930000,242.3137051,3838,1996,3005BRIERFIELDLAKE-2023-05-04-930000,"3005 BRIERFIELD LAKE Fulton County, GA","3005%20BRIERFIELD%20LAKE%20Fulton%20County,%20GA","https://www.google.com/maps/search/3005%20BRIERFIELD%20LAKE%20Fulton%20County,%20GA",34.0851238,-84.3164219
881,1323 SIMONDS WAY,4/26/23,"$820,990.00 ",820990,226.7928177,3620,2022,1323SIMONDSWAY-2023-04-26-820990,"1323 SIMONDS WAY Fulton County, GA","1323%20SIMONDS%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/1323%20SIMONDS%20WAY%20Fulton%20County,%20GA",34.0452081,-84.1673448
882,10657 POLLY TAYLOR RD LOT 15,5/4/23,"$1,700,000.00 ",1700000,340.0680136,4999,2015,10657POLLYTAYLORRDLOT15-2023-05-04-1700000,"10657 POLLY TAYLOR RD LOT 15 Fulton County, GA","10657%20POLLY%20TAYLOR%20RD%20LOT%2015%20Fulton%20County,%20GA","https://www.google.com/maps/search/10657%20POLLY%20TAYLOR%20RD%20LOT%2015%20Fulton%20County,%20GA",34.0382242,-84.1390153
883,3365 CHATHAM RD NW,5/4/23,"$2,150,000.00 ",2150000,394.9301984,5444,1980,3365CHATHAMRDNW-2023-05-04-2150000,"3365 CHATHAM RD NW Fulton County, GA","3365%20CHATHAM%20RD%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/3365%20CHATHAM%20RD%20NW%20Fulton%20County,%20GA",33.8471849,-84.3906296
884,2030 FORTE LN,5/4/23,"$630,000.00 ",630000,279.5031056,2254,2017,2030FORTELN-2023-05-04-630000,"2030 FORTE LN Fulton County, GA","2030%20FORTE%20LN%20Fulton%20County,%20GA","https://www.google.com/maps/search/2030%20FORTE%20LN%20Fulton%20County,%20GA",34.0485337,-84.3038388
885,1820 PEACHTREE ST NW UNIT 311,5/4/23,"$633,000.00 ",633000,536.440678,1180,2010,1820PEACHTREESTNWUNIT311-2023-05-04-633000,"1820 PEACHTREE ST NW UNIT 311 Fulton County, GA","1820%20PEACHTREE%20ST%20NW%20UNIT%20311%20Fulton%20County,%20GA","https://www.google.com/maps/search/1820%20PEACHTREE%20ST%20NW%20UNIT%20311%20Fulton%20County,%20GA",33.805175,-84.3943191
886,405 MILL POND RD,5/4/23,"$290,000.00 ",290000,220.7001522,1314,1985,405MILLPONDRD-2023-05-04-290000,"405 MILL POND RD Fulton County, GA","405%20MILL%20POND%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/405%20MILL%20POND%20RD%20Fulton%20County,%20GA",34.042221,-84.348701
887,6090 NARCISSA PL,5/4/23,"$665,000.00 ",665000,283.8241571,2343,2005,6090NARCISSAPL-2023-05-04-665000,"6090 NARCISSA PL Fulton County, GA","6090%20NARCISSA%20PL%20Fulton%20County,%20GA","https://www.google.com/maps/search/6090%20NARCISSA%20PL%20Fulton%20County,%20GA",34.0372947,-84.1805721
888,5070 NORTH SOMERSET LN,5/4/23,"$585,000.00 ",585000,257.1428571,2275,1988,5070NORTHSOMERSETLN-2023-05-04-585000,"5070 NORTH SOMERSET LN Fulton County, GA","5070%20NORTH%20SOMERSET%20LN%20Fulton%20County,%20GA","https://www.google.com/maps/search/5070%20NORTH%20SOMERSET%20LN%20Fulton%20County,%20GA",34.0897218,-84.2837352
